16:44:17,986 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25818 | Ask: 1.25831)| Slow 166666 (Bid:1.25813 | Ask: 1.25816) | Delta: 0.0000200
16:44:18,079 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25818 | Ask: 1.25831)| Slow 166666 (Bid:1.2581 | Ask: 1.2582) | Delta: -0.0000200
16:44:18,181 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25818 | Ask: 1.25831)| Slow 166666 (Bid:1.25814 | Ask: 1.25816) | Delta: 0.0000200
16:44:18,236 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25818 | Ask: 1.25831)| Slow 166666 (Bid:1.25811 | Ask: 1.2582) | Delta: -0.0000200
16:44:18,298 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25818 | Ask: 1.25831)| Slow 166666 (Bid:1.25815 | Ask: 1.25816) | Delta: 0.0000200
16:44:18,345 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25818 | Ask: 1.25831)| Slow 166666 (Bid:1.2581 | Ask: 1.2582) | Delta: -0.0000200
16:44:18,456 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.2582 | Ask: 1.25832)| Slow 166666 (Bid:1.25814 | Ask: 1.25816) | Delta: 0.0000400
16:44:18,563 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.2582 | Ask: 1.25832)| Slow 166666 (Bid:1.25816 | Ask: 1.25824) | Delta: -0.0000400
16:44:24,706 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25821 | Ask: 1.25834)| Slow 166666 (Bid:1.25835 | Ask: 1.25836) | Delta: -0.0001500
16:44:25,004 | Pair:GBPUSD | Spread:0 | Fast 26015101 (Bid:1.25821 | Ask: 1.25834)| Slow 166666 (Bid:1.25827 | Ask: 1.25838) | Delta: -0.0001700
16:44:38,007 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.094 | Ask: 127.104)| Slow 166666 (Bid:127.109 | Ask: 127.11) | Delta: -0.0160000
16:44:38,070 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.099 | Ask: 127.11)| Slow 166666 (Bid:127.109 | Ask: 127.11) | Delta: -0.0110000
16:44:52,367 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.098 | Ask: 127.106)| Slow 166666 (Bid:127.095 | Ask: 127.096) | Delta: 0.0020000
16:44:52,463 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.098 | Ask: 127.106)| Slow 166666 (Bid:127.088 | Ask: 127.098) | Delta: 0.0000000
16:45:20,027 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.076 | Ask: 127.083)| Slow 166666 (Bid:127.072 | Ask: 127.073) | Delta: 0.0030000
16:45:20,069 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.074 | Ask: 127.082)| Slow 166666 (Bid:127.083 | Ask: 127.09) | Delta: -0.0160000
