15:35:34,656 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.975 | Ask: 126.976)| Slow 26015101 (Bid:126.979 | Ask: 126.989) | Delta: -0.0140000
15:35:34,657 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.975 | Ask: 126.976)| Slow 26015101 (Bid:126.981 | Ask: 126.988) | Delta: -0.0130000
15:35:34,779 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.968 | Ask: 126.978)| Slow 26015101 (Bid:126.977 | Ask: 126.987) | Delta: -0.0190000
15:35:35,120 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.968 | Ask: 126.979)| Slow 26015101 (Bid:126.977 | Ask: 126.983) | Delta: -0.0150000
15:35:41,985 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.98 | Ask: 126.981)| Slow 26015101 (Bid:126.982 | Ask: 126.989) | Delta: -0.0090000
15:35:41,986 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.98 | Ask: 126.981)| Slow 26015101 (Bid:126.983 | Ask: 126.989) | Delta: -0.0090000
15:35:42,014 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.98 | Ask: 126.981)| Slow 26015101 (Bid:126.98 | Ask: 126.988) | Delta: -0.0080000
15:35:42,282 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.975 | Ask: 126.987)| Slow 26015101 (Bid:126.983 | Ask: 126.989) | Delta: -0.0140000
15:35:42,301 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.98 | Ask: 126.982)| Slow 26015101 (Bid:126.983 | Ask: 126.989) | Delta: -0.0090000
15:35:42,529 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.98 | Ask: 126.982)| Slow 26015101 (Bid:126.979 | Ask: 126.985) | Delta: -0.0050000
15:35:43,562 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.973 | Ask: 126.974)| Slow 26015101 (Bid:126.978 | Ask: 126.983) | Delta: -0.0100000
15:35:43,563 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.973 | Ask: 126.974)| Slow 26015101 (Bid:126.979 | Ask: 126.985) | Delta: -0.0120000
15:35:43,604 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.973 | Ask: 126.974)| Slow 26015101 (Bid:126.974 | Ask: 126.982) | Delta: -0.0090000
15:35:43,624 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.967 | Ask: 126.977)| Slow 26015101 (Bid:126.969 | Ask: 126.976) | Delta: -0.0090000
15:35:43,719 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.972 | Ask: 126.973)| Slow 26015101 (Bid:126.974 | Ask: 126.98) | Delta: -0.0080000
15:35:43,736 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.966 | Ask: 126.977)| Slow 26015101 (Bid:126.974 | Ask: 126.98) | Delta: -0.0140000
15:35:46,691 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.961 | Ask: 126.964)| Slow 26015101 (Bid:126.965 | Ask: 126.971) | Delta: -0.0100000
15:35:46,779 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.956 | Ask: 126.969)| Slow 26015101 (Bid:126.965 | Ask: 126.971) | Delta: -0.0150000
15:35:54,177 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.958 | Ask: 126.959)| Slow 26015101 (Bid:126.961 | Ask: 126.968) | Delta: -0.0100000
15:35:54,229 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.958 | Ask: 126.959)| Slow 26015101 (Bid:126.958 | Ask: 126.961) | Delta: -0.0030000
15:35:58,097 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.947 | Ask: 126.949)| Slow 26015101 (Bid:126.954 | Ask: 126.96) | Delta: -0.0130000
15:35:58,270 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.941 | Ask: 126.955)| Slow 26015101 (Bid:126.954 | Ask: 126.96) | Delta: -0.0190000
15:35:58,552 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.949 | Ask: 126.95)| Slow 26015101 (Bid:126.954 | Ask: 126.96) | Delta: -0.0110000
