19:47:19,932 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05531 | 0 | 5.9999999999949E-05
19:47:19,933 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:19,996 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0554 | 1.05531 | 0 | 8.99999999999235E-05
19:47:19,997 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05541 | 0 | -0.000140000000000029
19:47:20,696 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:20,697 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:20,776 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05542 | 1.05531 | 0 | 0.000110000000000054
19:47:20,777 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05543 | 0 | -0.00016000000000016
19:47:20,913 | EURUSD | Vadim | LMAX | 1.05537 | 1.05531 | 0 | 5.9999999999949E-05
19:47:20,914 | EURUSD | LMAX | Vadim | 1.05527 | 1.05545 | 0 | -0.000180000000000069
19:47:20,915 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:20,915 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05547 | 0 | -0.000199999999999978
19:47:20,940 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05542 | 1.05531 | 0 | 0.000110000000000054
19:47:20,941 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05543 | 0 | -0.00016000000000016
19:47:20,944 | EURUSD | Vadim | LMAX | 1.05538 | 1.05531 | 0 | 7.00000000000145E-05
19:47:20,944 | EURUSD | LMAX | Vadim | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:22,177 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0554 | 1.05531 | 0 | 8.99999999999235E-05
19:47:22,177 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05547 | 0 | -0.000199999999999978
19:47:22,197 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05543 | 1.05531 | 0 | 0.00012000000000012
19:47:22,197 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:22,350 | EURUSD | Vadim | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:22,351 | EURUSD | LMAX | Vadim | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:22,413 | EURUSD | Vadim | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:22,413 | EURUSD | LMAX | Vadim | 1.05527 | 1.05548 | 0 | -0.000210000000000043
19:47:22,521 | EURUSD | Vadim | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:22,522 | EURUSD | LMAX | Vadim | 1.05527 | 1.05547 | 0 | -0.000199999999999978
19:47:23,011 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0554 | 1.05531 | 0 | 8.99999999999235E-05
19:47:23,012 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05548 | 0 | -0.000210000000000043
19:47:23,123 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05543 | 1.05531 | 0 | 0.00012000000000012
19:47:23,123 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:23,619 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0554 | 1.05531 | 0 | 8.99999999999235E-05
19:47:23,619 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05547 | 0 | -0.000199999999999978
19:47:24,104 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
19:47:24,105 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:24,164 | EURUSD | Vadim | LMAX | 1.05538 | 1.05531 | 0 | 7.00000000000145E-05
19:47:24,164 | EURUSD | LMAX | Vadim | 1.05527 | 1.05546 | 0 | -0.000190000000000135
19:47:24,195 | EURUSD | Vadim | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:24,195 | EURUSD | LMAX | Vadim | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:24,217 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0554 | 1.05531 | 0 | 8.99999999999235E-05
19:47:24,218 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05541 | 0 | -0.000140000000000029
19:47:24,319 | EURUSD | Vadim | LMAX | 1.05535 | 1.05531 | 0 | 4.000000000004E-05
19:47:24,320 | EURUSD | LMAX | Vadim | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:24,538 | EURUSD | Vadim | LMAX | 1.05535 | 1.05531 | 0 | 4.000000000004E-05
19:47:24,539 | EURUSD | LMAX | Vadim | 1.05527 | 1.05543 | 0 | -0.00016000000000016
19:47:25,496 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05531 | 0 | 5.9999999999949E-05
19:47:25,496 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05544 | 0 | -0.000170000000000003
19:47:27,700 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05536 | 1.05531 | 0 | 5.00000000001055E-05
19:47:27,701 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05543 | 0 | -0.00016000000000016
19:47:27,809 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05539 | 1.05531 | 0 | 8.000000000008E-05
