16:57:25,497 | INFO  | Config Loader | READ EURUSD, Spread: 0
16:57:25,498 | INFO  | Config Loader | READ GBPUSD, Spread: 0
16:57:25,499 | INFO  | Config Loader | READ USDJPY, Spread: 0
16:57:25,499 | INFO  | Config Loader | config.json loaded
16:57:25,508 | INFO  | Observer | ADD [Pair: EURUSD, Spread: 0]
16:57:25,510 | INFO  | Observer | ADD [Pair: GBPUSD, Spread: 0]
16:57:25,511 | INFO  | Observer | ADD [Pair: USDJPY, Spread: 0]
16:57:25,515 | INFO  | 26015101 | CREATE CONNECTOR
16:57:25,516 | INFO  | 26015101 | START CLIENT
16:57:26,928 | INFO  | 26015101 | CONNECTED
16:57:26,930 | INFO  | Observer | ADD FAST BROKER 26015101
16:57:26,930 | INFO  | 26015101 | SUBSCRIBE [Pair: EURUSD]
16:57:26,931 | INFO  | 26015101 | SUBSCRIBE [Pair: GBPUSD]
16:57:26,932 | INFO  | 26015101 | SUBSCRIBE [Pair: USDJPY]
16:57:26,933 | INFO  | 166666 | CREATE CONNECTOR
16:57:26,934 | INFO  | 166666 | START CLIENT
16:57:28,232 | INFO  | 166666 | CONNECTED
16:57:28,232 | INFO  | Observer | ADD SLOW BROKER 166666
16:57:28,233 | INFO  | 166666 | SUBSCRIBE [Pair: EURUSD]
16:57:28,233 | INFO  | 166666 | SUBSCRIBE [Pair: GBPUSD]
16:57:28,234 | INFO  | 166666 | SUBSCRIBE [Pair: USDJPY]
16:57:28,241 | INFO  | FixLMAXBrokerConnector | Starting LMAX FIX connector
16:57:28,378 | INFO  | Observer | ADD FAST BROKER LMAX
16:57:28,564 | INFO  | FixLMAXBrokerConnector | Logon
16:57:28,567 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to EURUSD
16:57:28,571 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to GBPUSD
16:57:28,573 | INFO  | FixLMAXBrokerConnector.Subscribe | Subscribing to USDJPY
16:57:28,674 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:28,676 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:28,678 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:29,153 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:29,154 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:30,252 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:30,254 | ERROR | FixApplication | FromApp field not found for tag: 273
